,station,date,avg_aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
0,"Railway Colony, Guwahati - APCB",2024-03-26,2.75,791.3504166666668,0.16708333333333333,10.065833333333332,41.12166666666666,5.074583333333334,31.688333333333333,37.015,5.262083333333334
1,"Railway Colony, Guwahati - APCB",2024-03-27,2.7083333333333335,712.91125,0.19791666666666666,8.905833333333334,54.07749999999999,3.794166666666667,27.02291666666667,33.68791666666666,6.773750000000001
2,"Railway Colony, Guwahati - APCB",2024-03-28,3.1666666666666665,786.34375,0.36874999999999997,11.259999999999998,55.36041666666667,3.9429166666666657,38.57000000000001,50.44333333333335,8.093333333333334
3,"Railway Colony, Guwahati - APCB",2024-03-29,3.4166666666666665,852.5445833333333,0.67375,13.125000000000002,56.03458333333333,6.035833333333334,48.877916666666664,60.82791666666666,10.180000000000001
4,"Railway Colony, Guwahati - APCB",2024-03-30,3.2916666666666665,774.6608333333334,0.5479166666666667,13.09666666666667,54.07083333333332,5.022083333333334,44.456666666666656,54.04333333333333,8.880416666666667
5,"Railway Colony, Guwahati - APCB",2024-03-31,2.5,744.3433333333334,0.1275,9.449166666666668,38.15083333333334,4.065416666666667,30.080416666666665,35.63333333333333,6.154166666666665
6,"Railway Colony, Guwahati - APCB",2024-04-01,3.9583333333333335,893.7120833333332,0.35666666666666663,14.147916666666667,65.57333333333334,7.355416666666667,61.50166666666667,73.88083333333333,8.325416666666666
7,"Railway Colony, Guwahati - APCB",2024-04-02,3.3333333333333335,733.2158333333333,0.1975,10.871666666666668,52.071666666666665,4.484166666666666,44.00666666666667,54.30416666666665,8.1225
8,"Railway Colony, Guwahati - APCB",2024-04-03,3.0833333333333335,583.8466666666667,0.13333333333333333,6.192499999999999,76.20416666666667,3.570833333333333,35.84416666666667,42.81625,7.287916666666668
9,"Railway Colony, Guwahati - APCB",2024-04-04,3.0,574.3891666666667,0.12458333333333334,5.9125000000000005,72.52333333333335,3.42625,33.270833333333336,38.591666666666676,6.7320833333333345
10,"Railway Colony, Guwahati - APCB",2024-04-05,2.875,553.2495833333332,0.09499999999999999,5.317083333333334,81.33083333333333,3.5316666666666667,31.62708333333333,36.85625,6.458333333333333
11,"Railway Colony, Guwahati - APCB",2024-04-06,2.8333333333333335,702.8974999999999,0.12291666666666666,10.967916666666667,59.9325,4.550416666666667,38.31125,47.34916666666667,10.564583333333333
12,"Railway Colony, Guwahati - APCB",2024-04-07,4.333333333333333,899.2754166666667,0.44125,17.837916666666665,74.52041666666666,9.577916666666667,75.97791666666667,96.55,23.927916666666672
13,"Railway Colony, Guwahati - APCB",2024-04-08,3.9583333333333335,834.7429166666666,0.23875000000000002,16.963333333333335,59.47916666666665,8.51375,66.16458333333333,81.98250000000003,14.520416666666668
14,"Railway Colony, Guwahati - APCB",2024-04-09,4.583333333333333,839.4720833333336,0.5449999999999998,16.306250000000002,68.0175,6.727083333333333,78.225,97.25833333333334,13.0375
15,"Railway Colony, Guwahati - APCB",2024-04-10,3.2916666666666665,685.9295833333332,0.15375,12.623333333333335,62.84916666666666,4.31375,42.496249999999996,54.43708333333333,10.257916666666668
16,"Railway Colony, Guwahati - APCB",2024-04-11,3.3333333333333335,655.0554166666667,0.17416666666666666,10.749583333333334,77.16541666666667,4.588333333333334,37.36625,48.29333333333333,12.297083333333333
17,"Railway Colony, Guwahati - APCB",2024-04-12,3.8333333333333335,825.0079166666668,0.25000000000000006,17.89166666666667,64.03416666666668,6.9145833333333355,51.30416666666665,66.63083333333334,14.373750000000003
18,"Railway Colony, Guwahati - APCB",2024-04-13,4.25,825.2858333333332,0.1525,15.111666666666666,62.32416666666666,5.9629166666666675,67.02749999999999,81.62875,15.070833333333335
